,text,page_number
870,"L’atteinte de ces objectifs nécessite un rythme de développement de 2,4 GW par an d’ici 2023, puis de plus de 3 GW sur la deuxième période de la PPE. Au vu du parc installé et du rythme de développement actuel, ces cibles semblent très ambitieuses. Afin d’y parvenir, le projet de PPE vise notamment à privilégier le développement du photovoltaïque au sol, moins coûteux, de préférence sur les terrains urbanisés ou dégradés et les parkings, et à soutenir l’innovation par appel d’offres afin d’encourager de nouvelles solutions au sol (agri voltaïsme, centrales flottantes…) et sur les bâtiments.",37
902,"Dans le prolongement de la PPE de 2016, le projet de PPE reconduit les appels d’offres pluriannuels pour la filière en annonçant un nouveau calendrier pour la période 2019-2024 : chaque année seront proposés en appel d’offres 2 GW pour le solaire au sol et 0,9 GW pour le solaire sur toiture, soit des volumes deux fois plus importants que ceux proposés dans les appels d’offres de la précédente PPE.",38
905,"u une trajectoire basse basée sur le rythme tendanciel moyen observé depuis 2014, permettant d’atteindre 12,5 GW fin 2023 puis 16,6 GW fin 2028 (+0,8 GW/an) ;",38
906,"u une trajectoire médiane basée sur un rythme de développement supérieur au rythme moyen historique mais en deçà de celui nécessaire pour atteindre les objectifs du projet de PPE, permettant d’atteindre 15,4 GW fin 2023 et 26,9 GW fin 2028 (+0,8 GW/an les deux prochaines années puis +2,4 GW/an et +3 GW/an sur la deuxième partie de la PPE) ;",38
909,"Pour calculer les facteurs de charge des filières éolienne et photovoltaïque, le Bilan prévisionnel 2019 retient désormais une approche zonale basée sur la segmentation des capacités installées suivant un découpage de la France en 26 zones. Cette répartition de la capacité installée par zone s’appuie sur la meilleure vision à date de RTE concernant l’évolution locale et régionale des capacités de production renouvelable. Ce travail intègre ainsi les notions de file d’attente sur les projets à venir, de saturation possible des capacités sur certaines zones et d’ambitions régionales définies dans les SRCAE.",38
910,"La capacité identifiée au sein de chaque zone est ensuite associée à un jeu de 200 chroniques horaires pour chaque zone concernée afin d’obtenir un jeu de 200 profils sur chacune des 26 zones. Alors que le Bilan prévisionnel 2018 retenait un volume et un profil de facteurs de charge national, l’exercice 2019 utilise désormais l’agrégat des profils sur les 26 zones. Cette approche permet notamment d’atteindre une meilleure sensibilité à certaines situations extrêmes telles que l’absence de vent et de mieux considérer le foisonnement pouvant exister au niveau national.",38
912,"u une trajectoire haute basée sur l’atteinte des objectifs du projet de PPE, permettant d’atteindre 20,6 GW fin 2023 et 40,1 GW fin 202811 (+2,4 GW/an puis +3,9 GW/an sur la deuxième partie de la PPE).",38
913,"Dans la continuité du Bilan prévisionnel précédent, la trajectoire médiane est retenue dans le cas de base ; les deux autres trajectoires sont utilisées comme variantes.",38
915,3.1.5 Des orientations publiques qui privilégient une utilisation de la biomasse pour la production de chaleur et de biogaz injecté dans les réseaux gaziers,39
917,"La filière bioénergies électriques est constituée des groupes thermiques fonctionnant avec des combustibles renouvelables ou de récupération. Elle comprend des installations produisant de l’électricité à partir de biomasse (bois, paille…), biogaz et déchets (ménagers et de papeterie).",39
922,"La filière bioénergies a peu évolué ces dernières années, avec une progression moyenne sur les cinq dernières années de 80 MW raccordés par an (hors prise en compte de la conversion de la centrale de Provence 4 à la biomasse pour 150 MW).",39
924,"Le projet de PPE indique que le soutien à la filière biomasse solide sera privilégié pour la production de chaleur. Il fait aussi état d’une volonté d’amélioration de la valorisation énergétique des déchets, sans toutefois préciser de mesures associées.",39
925,"Concernant le biogaz, le projet de PPE prévoit un développement de la méthanisation principalement pour de l’injection dans les réseaux gaziers (et non pour la production d’électricité). Il prévoit néanmoins une hausse limitée de la capacité de production électrique à partir de biogaz d’environ 25 MW par an sur l’ensemble de la période couverte.",39
927,"En 2018, la production de la filière a été de 9,7 TWh soit un facteur de charge moyen de 56 %. L’analyse de l’historique sur la période 2013-2018 montre que ce facteur de charge varie peu au cours de l’année. Ainsi, la filière bioénergies permet de garantir aujourd’hui une production en base supérieure à 1 GW. Les facteurs de charge de chacune des filières sont relativement stables d’une année sur l’autre.",39
956,"Compte tenu des orientations nouvelles présentées dans le projet de PPE, priorisant notamment la filière biomasse pour la production de chaleur et l’injection directe de biogaz sur le réseau gaz, le Bilan prévisionnel 2019 retient dans son cas de base :",40
958,"u une progression du parc biogaz, en retenant une augmentation de 25 MW par an sur l’ensemble de l’horizon étudié ;",40
962,"Les énergies marines permettent de produire de l’électricité grâce aux flux naturels d’énergie des courants et des marées, exploités dans différents types d’installations : usine marémotrice, hydrolienne, etc.",40
964,"En France, l’usine marémotrice de la Rance, d’une capacité installée de 240 MW, a été mise en service en 1966 ; elle est restée la plus grande usine marémotrice au monde jusqu’à 2011, détrônée par la centrale de Sihwa Lake en Corée du Sud. Elle produit chaque année de l’ordre de 500 GWh, soit l’équivalent de la consommation d’une ville comme Rennes.",40
968,"La France, qui dispose des courants marins parmi les plus forts du monde, dispose d’un potentiel technique exploitable, avant prise en compte des contraintes d’usage, de 2 à 3 GW, situé principalement au large du Raz Blanchard en Normandie. La filière hydrolienne n’est cependant pas encore mature et seuls des projets pilotes se développent actuellement.",40
969,L’expérimentation menée sur le site de PaimpolBréhat a pris fin en novembre 2017 avec le retrait des deux hydroliennes de 1 MW immergées en 2011 et 2016. D’autres projets de démonstrateurs sont d’ores et déjà envisagés sur ce même site12.,40
970,"Deux projets pilotes français devaient également être développés au large du Raz Blanchard en Normandie, mais EDF EN, Naval Energy et Engie ont récemment renoncé. Le leader écossais de l’hydrolien Atlantis energy s’est positionné fin 2018 pour exploiter ce potentiel ; dans un premier temps, un projet de démonstration de 20 MW devrait être développé pour 2021.",40
971,"Aussi, la France souhaite expérimenter l’implantation d’hydroliennes dans les fleuves. Le Rhône est ainsi devenu le premier fleuve français à accueillir un grand parc d’hydroliennes. La Compagnie Nationale du Rhône souhaite installer 39 hydroliennes dans l’Ain, en aval de Génissiat. Quatre unités ont déjà été immergées fin 2018. Toutefois, à l’heure actuelle, la capacité de production des hydroliennes fluviales est encore relativement limitée et peine à dépasser 80 kW.",40
973,La production d’électricité à partir de l’énergie des vagues reste toujours au stade de la démonstration. Il n’existe pas à ce sujet d’estimation fiable de potentiel technique exploitable compte tenu du faible niveau de maturité de la filière.,40
976,"Hors éolien en mer, le projet de PPE ne prévoit pas de soutien financier pour le développement de parcs d’énergies marines commerciaux à l’horizon de la PPE. Bien que la filière hydrolienne ait gagné en maturité, les coûts de production restent encore élevés par rapport à d’autres technologies comme l’éolien en mer.",41
978,"Une approche prudente est reconduite pour le Bilan prévisionnel 2019. Les projets en cours ne faisant que l’objet d’expérimentations, ils ne sont pas pris en compte pour l’exercice de sécurité d’approvisionnement de moyen terme.",41
982,"Le parc actuel sera complété d’un réacteur supplémentaire de type EPR (European Pressurised Water Reactor) d’une puissance nominale de 1 650 MW, sur le site de Flamanville. Aucun nouveau projet – en dehors de l’EPR précité – n’est envisagé sur l’horizon de moyen terme.",42
984,"Début octobre 2018, suite à l’annonce du nouveau report de la date de mise en service de l’EPR de Flamanville, le ministre de la Transition écologique a explicitement dissocié le calendrier de fermeture de la centrale de Fessenheim de celui de la mise en service de l’EPR.",42
985,"Au-delà d’un choix politique sur la date de fermeture ou de la contrainte de plafonnement de la capacité nucléaire, EDF et l’Autorité de sûreté nucléaire (ASN)",42
986,"La filière nucléaire représente la majeure part de l’électricité produite en France : l’analyse détaillée de son évolution est donc essentielle. Le Bilan prévisionnel 2018 a listé un certain nombre d’incertitudes, qui ne sont aujourd’hui pas levées, à l’exception de la date de fermeture de la centrale de Fessenheim qui est désormais clarifiée.",42
987,"RTE intègre dans ses prévisions une tendance à la réduction de la disponibilité du parc nucléaire, en listant notamment trois facteurs de vigilance :",42
991,3.2.1 Les dates de fermeture des réacteurs de Fessenheim sont désormais clarifiées mais l’incertitude persiste autour du calendrier de démarrage de l’EPR de Flamanville,42
992,"L’évolution de la capacité installée et le niveau de disponibilité du parc nucléaire constituent des hypothèses structurantes pour l’analyse de sécurité d’approvisionnement. Alors que le calendrier de la fermeture de Fessenheim est désormais précisé, les incertitudes restent fortes sur le calendrier de démarrage de l’EPR et la déclaration de juin 2019 du producteur fait état d’un démarrage au mieux fin 2022.",42
993,"Le parc nucléaire actuellement en exploitation comporte 19 centrales composées de 58 réacteurs à eau pressurisée, pour une puissance totale installée de 63,1 GW. Ce parc est composé de trois paliers techniques standardisés :",42
1253,ont indiqué fin octobre 2018 par échange de courrier13 qu’ils n’envisageaient pas de prolongation de Fessenheim au-delà du quatrième réexamen décennal (prévu respectivement en septembre 2020 et août 2022 pour les réacteurs n° 1 et n° 2).,43
1254,"Le projet de PPE publié en janvier 2019 a précisé ce calendrier de fermeture, en annonçant l’arrêt des deux réacteurs de Fessenheim au printemps 2020, non conditionné à la mise en service de l’EPR. Ces éléments de calendrier ont été confirmés par les dates d’arrêt déclarées par le producteur sur la plateforme de transparence européenne dès le mois de mai et par un communiqué de presse publié fin septembre. EDF a alors annoncé avoir adressé au ministre chargé de la Transition écologique et solidaire et à l’ASN la demande d’abrogation d’exploiter ainsi que la déclaration de mise à l’arrêt définitif des deux réacteurs de la centrale nucléaire de Fessenheim. L’arrêt du réacteur n° 1 est désormais prévu le 22 février 2020, celui du réacteur n° 2 le 30 juin de la même année.",43
1256,"Les derniers éléments de calendrier pour la mise en service de l’EPR ont été fournis par EDF par communiqué de presse durant l’été 201914, suite aux contrôles des soudures du circuit secondaire principal. La décision de l’ASN de procéder à la remise en conformité des soudures existantes conduit l’exploitant à mener des travaux supplémentaires. L’exploitant n’envisage désormais plus de mise en service avant fin 2022.",43
1257,"Ces informations conduisent désormais à exclure la possibilité d’une mise en service de l’EPR dans les deux prochaines années (alors que cela était encore envisagé par EDF il y a un an) et confirment l’existence d’un délai significatif entre la fermeture de la centrale de Fessenheim et la mise en service de l’EPR, très supérieur à ce qui était jusqu’ici considéré.",43
1258,Il est donc certain que la capacité de production sera plus faible au cours des prochaines années. Une forte incertitude demeure sur l’échéance à laquelle l’EPR produira en régime pérenne.,43
1260,"Compte tenu du caractère « tête de série » de l’EPR, des incertitudes existent sur le rythme de montée en puissance du réacteur et sur sa date de fonctionnement à pleine puissance. Dans une approche prudente nécessaire à l’analyse de sécurité d’approvisionnement du Bilan prévisionnel, la représentation de la disponibilité de l’EPR intègre sur la première année un taux de disponibilité réduit par rapport aux standards observés sur le parc en exploitation. Un taux de disponibilité nominal est ensuite appliqué les années suivantes.",43
1261,"Ainsi, dans la continuité des précédents exercices, les hypothèses adoptées pour la modélisation de la disponibilité de l’EPR sont les suivantes :",43
1262,u une période de six mois démarrant avec la phase de chargement de combustible durant laquelle la puissance produite est considérée très limitée et n’est pas prise en compte dans l’exercice d’analyse de la sécurité d’approvisionnement ;,43
1263,"u une seconde période d’un an (après la phase de six mois décrite précédemment) durant laquelle la disponibilité de l’EPR est considérée réduite. Le taux de fortuit est majoré, de manière à réduire sa disponibilité à environ 50 % en moyenne annuelle (60 % en janvier) ;",43
1264,"u au-delà des 18 premiers mois, un taux de fortuit comparable au taux de fortuit constaté sur le palier le plus récent (palier « 1 450 MW »).",43
1266,"Un premier arrêt du réacteur, d’une durée proche de trois mois, est généralement mené deux ans après le début de la phase de chargement du combustible afin de réaliser la visite complète. Cet arrêt pourrait entraîner une indisponibilité de l’EPR",43
1272,"Une autre incertitude concerne le changement du couvercle qui devrait intervenir avant 2025 suite à l’avis de l’ASN du 10 octobre 201715. Une étude publiée par l’exploitant fait état d’un chantier d’une durée de 4,5 à 9,5 mois16. Sans préjuger de l’importance des travaux, ceux-ci représentent une incertitude forte pour la disponibilité de l’EPR sur la fin d’horizon d’étude.",44
1273,De nouvelles trajectoires d’évolution de la capacité nucléaire pour atteindre l’objectif de 50 % de production nucléaire dans le mix électrique,44
1274,"Le projet de PPE et la loi énergie et climat du 8 novembre 2019 fixent le principe d’une diversification progressive du mix de production. Ils actent le report à 2035 de l’objectif de réduction à 50 % du nucléaire dans le mix électrique, en cohérence avec les engagements climatiques du gouvernement (pas de construction de nouvelles centrales thermiques fossiles et fermeture du parc charbon d’ici 2022) et en s’appuyant sur les études menées par RTE dans le cadre du Bilan prévisionnel 2017.",44
1275,"Pour atteindre cet objectif, le projet de PPE annonce des orientations concernant la trajectoire d’évolution du parc électronucléaire, y compris au-delà de l’horizon de la PPE fixé en 2028. Le projet de PPE indique que 14 réacteurs seront fermés d’ici 2035, incluant ceux de la centrale de Fessenheim. Il précise également le principe général de fermeture retenu, à savoir à l’échéance de la cinquième visite décennale d’un réacteur et sans entrainer la fermeture complète de tous les réacteurs d’un même site.",44
1276,"Les orientations du Gouvernement décrites dans le projet de PPE prévoient par ailleurs que de premiers réacteurs seront arrêtés en anticipation de leur cinquième visite décennale, en 2027 et 2028 afin de lisser l’effort de déclassement (sauf en cas de demandes par l’ASN de fermetures d’autres réacteurs d’ici là pour raisons de sûreté ou en cas de risque sur la sécurité d’approvisionnement, qui pourrait être mis en évidence dans le Bilan prévisionnel de RTE).",44
1277,"L’arrêt anticipé de deux autres réacteurs pourrait également intervenir en 2025 et 2026 si un certain nombre de conditions se trouvaient réunies : développement massif de la production d’électricité renouvelable dans les pays voisins conduisant à un solde exportateur réduit de la France, existence d’une marge significative de sécurité d’approvisionnement, niveau faible des prix de marché de l’électricité permettant d’envisager la fermeture de réacteurs sans que cela ne pèse sur les consommateurs français. Le projet de PPE prévoit en outre que l’analyse de ces conditions fera l’objet d’un rapport de la CRE devant être remis au Gouvernement avant le 1er décembre 2022. Ce rapport s’appuiera sur les analyses de RTE, publiées en particulier dans le cadre du Bilan prévisionnel. Les prochaines éditions du Bilan prévisionnel comporteront ainsi des analyses détaillées relatives à ces enjeux.",44
1280,u la fermeture de la centrale de Fessenheim selon les dates d’arrêt déclarées par le producteur (respectivement 22 février 2020 et 30 juin 2020 pour Fessenheim 1 et 2) ;,44
1281,u la mise en service de l’EPR de Flamanville mi-2023 associée à une disponibilité partielle la première année de fonctionnement ;,44
1285,"Sur l’horizon d’étude, une quarantaine de réacteurs nucléaires sont concernés par un réexamen périodique de sûreté. Sur le plan industriel, ceci se traduit par des arrêts programmés lors des « visites décennales ». Ces opérations sont anticipées",44
1338,"longtemps en amont, et constituent des étapes normales dans l’exploitation d’un parc nucléaire. Les visites décennales interviennent selon un référentiel de sûreté renforcé (intégration des préconisations suite à l’accident de Fukushima au Japon et réévaluation de la sûreté au regard des exigences appliquées aux nouvelles installations et de l’état de l’art en matière de technologies nucléaires), et dans le cadre d’une culture de la gestion du risque qui a évolué au cours des dernières années.",45
1340,"Pour rendre compte des enjeux autour des visites décennales, les analyses du Bilan prévisionnel s’appuient sur des hypothèses de disponibilité affinées, différenciées par hiver, en fonction du planning des visites décennales. Cette modélisation permet d’évaluer la situation spécifique de chacun des prochains hivers en fonction des arrêts de réacteurs déjà planifiés, ainsi que les conséquences",45
1341,"liées à d’éventuelles prolongations de ces arrêts au-delà du planning envisagé. Elle permet ainsi d’identifier des hivers particulièrement contraints, en 2021-2022 (quatre visites décennales « à risque » impactant le cœur de l’hiver en cas d’allongement de deux mois) et 2022-2023 (trois visites décennales déjà planifiées sur le mois de janvier).",45
1342,"Les dates prévisionnelles des visites décennales planifiées pour les trois années à venir sont publiques ; elles sont déclarées par l’exploitant sur la plateforme de transparence européenne, en application du règlement européen. Au-delà de cet horizon, les plannings transmis par l’exploitant à RTE dans le cadre du contrat de gestion prévisionnelle permettent de disposer, dans le Bilan prévisionnel 2019, des informations relatives aux arrêts planifiés jusqu’à cinq ans à l’avance soit jusqu’à l’automne 2024. Sur les deux dernières années de l’horizon (2024-2025 et 2025-2026), le Bilan prévisionnel considère une disponibilité basée sur les trois dernières années d’historique.",45
1360,"L’analyse rétroactive de la durée effective des visites décennales a permis de constater une tendance à un allongement de la durée des arrêts par rapport aux durées initialement annoncées, en moyenne de l’ordre de 60 jours. L’analyse montre également une forte variabilité des allongements observés (de 0 à 6 mois en excluant les visites décennales de Paluel 2 et Gravelines 5 considérées hors dimensionnement, avec notamment 25 % des visites décennales prolongées de 4 à 6 mois).",46
1361,"La nature et la complexité des visites décennales sont a priori déjà intégrées au planning de l’exploitant, par des durées prévisionnelles différentes (par exemple 116 jours pour la VD3 de Chinon B3 et 180 jours pour la VD4 de Tricastin 1). Pour autant, des dépassements de durée sont constatés.",46
1362,"Pour rendre compte de cette variabilité, RTE retient une approche probabiliste d’allongement des visites décennales dans le cadre du Bilan prévisionnel 2019 cohérente avec l’historique, tant en espérance (deux mois en moyenne) qu’en dispersion.",46
1364,"Les arrêts pour visites décennales sont structurants mais ils ne constituent pas les seuls motifs d’arrêt des réacteurs. Entre deux réexamens périodiques, chaque réacteur est arrêté régulièrement, pour simple rechargement ou visite partielle. Certains de ces arrêts peuvent être assez longs, notamment s’ils incluent des changements de composants",46
1381,"industriels majeurs (par exemple les générateurs de vapeur). Chaque réacteur est de plus sujet à des arrêts fortuits, par nature imprévisibles.",47
1383,"En septembre 2019, EDF a informé l’ASN17 de l’existence d’écarts au référentiel technique de fabrication de certaines soudures situées sur des générateurs de vapeur. Bien que ces écarts ne nécessitent pas l’arrêt des six réacteurs concernés, des investigations devront être menées sur les soudures en question lors des arrêts programmés à venir des réacteurs.",47
1384,"Dans le même temps, l’ASN a placé les réacteurs nos 1 et 2 de Flamanville sous « surveillance renforcée » suite à de nombreuses difficultés rencontrées sur cette centrale depuis mi-2018. Or, la disponibilité de ces réacteurs est importante pour la tenue de tension dans l’ouest de la France (voir la partie dédiée au diagnostic). Le mois de janvier 2019 a ainsi été marqué par une période d’indisponibilité simultanée des deux réacteurs ayant conduit à une situation de forte vigilance pour l’alimentation du Grand Ouest. Cette situation de vigilance est maintenue pour les prochains hivers, et en particulier",47
1385,"pour l’hiver 2019-2020 alors que la visite décennale du réacteur n° 2 a été prolongée au-delà de la fin de 2019 (soit près de six mois de retard par rapport au planning initial de retour) tout comme le réacteur n° 1, ayant aussi fait l’objet d’un arrêt de dix mois en 2018.",47
1386,"À cela viennent s’ajouter d’autres prolongations d’arrêts programmés, notamment sur le réacteur de Paluel 4. Ces nombreuses prolongations ont contraint l’exploitant à revoir sa prévision de production nucléaire à la baisse pour l’année 2019.",47
1387,"Au cours des prochaines années, certains arrêts programmés sensibles sont identifiés en lien avec le programme du grand carénage (par exemple le changement des générateurs de vapeur sur les réacteurs de Flamanville).",47
1389,"La tendance à l’augmentation des arrêts hors visites décennales montre qu’une vigilance doit être maintenue sur les indisponibilités des réacteurs nucléaires au cours des prochaines années, au-delà de la question spécifique des visites décennales.",47
1406,"Le Bilan prévisionnel modélise les indisponibilités liées aux arrêts programmés, hors visites décennales, en cohérence avec celles constatées ces dernières années. Hors Fessenheim, ces arrêts planifiés ont par exemple représenté une perte de disponibilité de l’ordre de 4 GW en janvier 2019.",48
1407,Cette modélisation est par la suite complétée par l’application de taux d’arrêts fortuits calculés selon des paramètres statistiques étalonnés sur les données historiques. Les arrêts fortuits représentent alors en moyenne une perte de disponibilité d’environ un gigawatt sur le mois de janvier.,48
1409,"En fonction de différentes contraintes techniques (usure du combustible en fin de cycle par exemple), de variations de rendements liées aux conditions climatiques (été/hiver par exemple), la puissance maximale disponible des groupes peut varier. Le Bilan prévisionnel modélise ces variations en exploitant des relevés historiques.",48
1410,"À l’échelle du parc nucléaire hors Fessenheim, la baisse de la puissance maximale disponible est en moyenne de l’ordre de 1 GW au cœur de l’hiver et de 2 GW en été.",48
1412,La survenue d’anomalies génériques ou l’identification d’un problème commun mettant en jeu la sûreté des installations peut conduire à l’arrêt simultané de plusieurs réacteurs. La disponibilité du parc peut alors se trouver fortement dégradée et mener à un risque de défaillance élevé pour le système électrique.,48
1413,"Ce fut notamment le cas lors de l’hiver 20162017. Au début de l’automne, l’ASN a demandé à l’exploitant de procéder sous trois mois à des contrôles de résistance des fonds de générateur de vapeur fabriqués par Japan Casting and Forging Corporation. Sur l’ensemble de l’hiver, dix réacteurs du palier 900 MW et deux réacteurs de palier 1 450 MW ont été concernés par cette procédure pour laquelle les vérifications ont été échelonnées sur plusieurs mois. Dans la période précédant l’hiver, d’autres réacteurs – en parallèle à ces arrêts pour inspection – étaient à l’arrêt pour maintenance ou incident conduisant à une situation où plus d’un tiers du parc était à l’arrêt. La maîtrise du planning entre les arrêts planifiés de longue date et les arrêts pour inspection – combinée à des conditions climatiques favorables – a toutefois permis d’éviter une situation tendue pour le système électrique.",48
1414,La sensibilité du diagnostic à une indisponibilité simultanée de plusieurs réacteurs nucléaires fait l’objet d’une analyse dédiée dans la suite de ce document (cf. 5.4.1).,48
1419,"L’analyse du fonctionnement des centrales au charbon françaises sur les dernières années montre un niveau de production désormais très faible. Ceci s’explique d’une part par les mouvements sociaux ayant affecté les différentes centrales au charbon en France, mais également par un espace économique de plus en plus réduit pour ces centrales. Le développement soutenu des énergies renouvelables, l’augmentation du prix du CO2 et la compétitivité retrouvée des moyens de production au gaz conduisent en effet à réduire l’espace et le fonctionnement des centrales au charbon.",49
1716,"Ce constat semble confirmé au niveau européen, notamment à travers l’analyse de l’évolution de la production des centrales au charbon allemandes qui apparait en baisse sur le début d’année 2019.",49
1718,"Le parc charbon français se compose aujourd’hui de cinq unités réparties sur quatre sites, pour une puissance installée totale de près de 3 GW. Annoncée en juillet 2017 dans le cadre du Plan climat, la fermeture des centrales au charbon constitue une priorité du Gouvernement. Le projet de PPE en cours intègre cet objectif d’arrêt des dernières centrales électriques fonctionnant exclusivement au charbon d’ici 2022.",49
1719,"La loi relative à l’énergie et au climat, adoptée en septembre 2019, fixe le cadre législatif associé à l’atteinte de cet objectif. Ce texte de loi prévoit notamment le plafonnement des émissions des installations de production d’électricité à partir de combustibles fossiles, émettant plus de 0,55 tonnes d’équivalents dioxyde de carbone par mégawattheure, à compter du 1er janvier 2022.",49
1720,"EDF a précisé mi-2019 que la fermeture de la centrale du Havre interviendrait au printemps 2021, notamment à travers les informations complémentaires de transparence, accessibles sur le portail",49
1737,"Les discussions entre l’État et les différents acteurs concernés (exploitants, collectivités territoriales, acteurs associatifs, économiques et syndicaux…) se poursuivent sur l’élaboration de projets de territoires visant à accompagner la fermeture des différentes centrales au charbon.",50
1739,"Le Plan climat, et le projet de PPE qui a suivi, évoquent la possible évolution des centrales au charbon vers des solutions moins carbonées, notamment la reconversion de certaines unités charbon vers la biomasse. Le projet de PPE précise cependant que, conformément aux orientations sur la valorisation prioritaire de la biomasse sous forme de chaleur, aucun soutien financier ne sera accordé par l’État pour les projets de production d’électricité à partir de biomasse.",50
1740,"Seule la centrale de Cordemais avec ses deux unités semble concernée par un projet de reconversion. Le projet « Ecocombust » d’EDF vise ainsi à remplacer progressivement le charbon par des granulés fabriqués à base de déchets de bois (tailles de haies, bois d’ameublement, panneaux, emballages…).",50
1741,L’État et EDF ont établi à l’automne 2019 un programme de travail préalable à une prise de décision concernant la mise en œuvre du procédé « Ecocombust ».,50
1743,"La promulgation de la loi énergie et climat ne met pas fin à l’incertitude sur la trajectoire de fermeture des groupes charbon, qui résultera de la décision des exploitants soumis à un nouveau régime de limitation de leurs émissions.",50
1744,"En l’absence de dates précises de fermeture fixées par les pouvoirs publics ou les exploitants (hors centrale du Havre), et dans le prolongement du Bilan prévisionnel 2018, le Bilan prévisionnel",50
1751,Le projet de conversion à la biomasse des deux unités de Cordemais dans le cadre du projet Ecocombust est également étudié en variante.,50
1752,La modélisation du fonctionnement des unités converties à la biomasse est relativement similaire à celle des unités au charbon. Le Bilan prévisionnel retient les hypothèses suivantes :,50
1755,"u un coût de production supérieur à celui des centrales à cycle combiné au gaz et des groupes charbon, mais inférieur à celui des turbines à combustion ;",50
1756,"u un fonctionnement dans la limite d’un plafond annuel d’exploitation, tel que celui mentionné dans le courrier du ministre en janvier 2019 ou celui étudié actuellement dans le projet d’EDF.",50
1757,3.3.2 Un parc de centrales à cycle combiné au gaz complété par la mise en service de la centrale de Landivisiau,50
1759,"Dans un contexte d’ouverture du marché à la concurrence et de perspectives fortes de croissance de la consommation électrique, les premières centrales à cycle combiné au gaz (CCG) ont été mises en service en France dans les années 2000. Cette technologie bénéficie d’un rendement énergétique élevé pouvant être deux fois supérieur à celui d’une centrale thermique conventionnelle.",50
1762,"compétitivité économique de ces moyens de production. C’est ainsi que la filière a connu un développement assez rapide au cours de la dernière décennie, avec des mises en service principalement concentrées entre 2008 et 2012. En 2018, le parc français représente une capacité installée de 6,2 GW et compte 14 installations.",51
1764,"Le projet de Programmation pluriannuelle de l’énergie publié en janvier 2019 a réaffirmé l’interdiction de nouveaux projets de centrale thermique à combustible fossile, à l’exception de la centrale à cycle combiné au gaz de Landivisiau actuellement en cours de construction.",51
2591,"breton de 2010, a été attribué à un consortium Direct Énergie-Siemens en 2012 à l’issue d’un appel d’offres. La mise en service de la centrale, initialement prévue pour 2016, a connu depuis d’importants retards, liés en particulier à l’enquête approfondie menée par la Commission européenne et aux contentieux portant sur les autorisations du projet.",51
2592,"Total Direct Énergie a engagé début 2019 les travaux préparatoires pour la construction de la centrale. Depuis la publication du Bilan prévisionnel 2018, un jalon important dans l’avancée du projet a été franchi avec la signature des conventions de raccordement aux réseaux de transport d’électricité et de gaz. Ce jalon constitue une étape engageant financièrement le producteur vis-à-vis des gestionnaires de réseaux, conditionnant le démarrage des travaux de raccordement aux réseaux de transport.",51
2593,"L’exploitant a par ailleurs transmis à RTE les éléments attestant de l’avancée du projet et permettant de rendre crédible une mise en service à l’horizon de l’hiver 2021-2022. Plusieurs recours formulés par les opposants au projet restent cependant en attente de jugement devant la cour administrative d’appel de Nantes. À ce stade, aucune juridiction n’a émis de décision de fond négative sur les différents points du contentieux relatif à la centrale de Landivisiau.",51
2594,Le cas de base du Bilan prévisionnel 2019 envisage le maintien du parc existant et la mise en service de la centrale à cycle combiné au gaz de Landivisiau fin 2021,51
2595,"En dehors de la mise en service de la centrale à cycle combiné au gaz de Landivisiau, le Bilan prévisionnel 2019 retient comme hypothèse le maintien du parc existant et l’absence de nouveau cycle combiné au gaz à moyen terme. En cohérence avec les déclarations les plus récentes du porteur de projet, la centrale à cycle combiné au gaz de Landivisiau est considérée en service à l’hiver 2021-2022.",51
2596,Les conséquences de retards par rapport au cas de base sont analysées par l’intermédiaire d’une variante considérant une mise en service de la centrale fin 2023.,51
2601,"Le mix électrique français comprend des moyens de pointe représentant une capacité installée de 2 GW de turbines à combustion (TAC) conçues pour fonctionner entre quelques dizaines et quelques centaines d’heures par an. Il est composé de moyens de production au fioul (1,4 GW) et au gaz (0,6 GW).",52
2602,"Le parc est relativement récent et conforme aux normes environnementales en vigueur, les deux tiers des installations ayant été mises en service après 2007. Néanmoins, les turbines à combustion bretonnes les plus anciennes auront atteint quarante années de fonctionnement début 2021 (quatre des cinq turbines à combustion de Brennilis et Dirinon, environ 360 MW de puissance installée).",52
2604,"Alors que le devenir des turbines à combustion au fioul constituait un point d’incertitude dans le Bilan prévisionnel 2018, la fermeture de ces unités ne semble plus à l’ordre du jour.",52
2605,"En l’absence de déclarations contraires et d’objectifs publics spécifiques à cette filière, le Bilan prévisionnel 2019 retient dans le cas de base un maintien de l’ensemble des turbines à combustion sur l’horizon d’étude. Une analyse de sensibilité portant sur le déclassement des turbines à combustion au fioul dès le premier hiver est néanmoins réalisée pour étudier l’impact d’une potentielle fermeture pour obsolescence de ces moyens de production à moyen terme.",52
2608,"Fin 2018, la capacité du parc installé de cogénérations est de 5,3 GW (4,9 GW de cogénérations au gaz et 0,4 GW de cogénérations au fioul). Les unités sont réparties pour moitié sur le réseau de transport et pour moitié sur les réseaux de distribution. Les cogénérations au gaz sont actuellement constituées d’unités sous contrat d’obligation d’achat et d’unités dont la production électrique est valorisée sur le marché de gros.",52
