,section_title,text,file,processed_text
102,Caractérisation des contraintes,Chaque contrainte de tension est caractérisée par les éléments suivants :,DODER_contraintes_de_tension.md,"Fichier: DODER_contraintes_de_tension.md
Titre: Caractérisation des contraintes
Chaque contrainte de tension est caractérisée par les éléments suivants :"
103,Caractérisation des contraintes,"* les conditions de détection de la contrainte :
	* niveau de charge
	* plan de production
	* taux d'enclenchement des moyens de compensation
* la description de la contrainte :
	* situation N ou N-1
	* défaut contraignant
	* sommet en contrainte
* les conséquences de la contrainte :
	* Mvars à ajuster pour lever la contrainte.",DODER_contraintes_de_tension.md,"Fichier: DODER_contraintes_de_tension.md
Titre: Caractérisation des contraintes
* les conditions de détection de la contrainte :
	* niveau de charge
	* plan de production
	* taux d'enclenchement des moyens de compensation
* la description de la contrainte :
	* situation N ou N-1
	* défaut contraignant
	* sommet en contrainte
* les conséquences de la contrainte :
	* Mvars à ajuster pour lever la contrainte."
104,Les dispositifs de réglage de la tension,Les solutions électrotechniques pour résoudre les contraintes de tension sont décrites [dans cet article](&A96).,DODER_contraintes_de_tension.md,"Fichier: DODER_contraintes_de_tension.md
Titre: Les dispositifs de réglage de la tension
Les solutions électrotechniques pour résoudre les contraintes de tension sont décrites [dans cet article](&A96)."
105,Le besoin d'une vision continue du risque,﻿# Contraintes d'exploitation,DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
﻿# Contraintes d'exploitation"
106,Le besoin d'une vision continue du risque,"Les missions de RTE peuvent, dans les grandes lignes, être résumées ainsi :",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
Les missions de RTE peuvent, dans les grandes lignes, être résumées ainsi :"
107,Le besoin d'une vision continue du risque,"* Garantir la sûreté de fonctionnement du système électrique
* Assurer l’ajustement à tout moment de la production à la consommation
* Garantir l’accès non discriminatoire au réseau de transport en préservant la confidentialité des informations commerciales sensibles
* Assurer la sécurité des biens et des personnes ainsi que l’intégration des ouvrages de transport dans l’environnement
* Entretenir le réseau et le développer pour permettre le raccordement des producteurs, des réseaux de distribution et des consommateurs, ainsi que l’interconnexion avec les pays voisins",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
* Garantir la sûreté de fonctionnement du système électrique
* Assurer l’ajustement à tout moment de la production à la consommation
* Garantir l’accès non discriminatoire au réseau de transport en préservant la confidentialité des informations commerciales sensibles
* Assurer la sécurité des biens et des personnes ainsi que l’intégration des ouvrages de transport dans l’environnement
* Entretenir le réseau et le développer pour permettre le raccordement des producteurs, des réseaux de distribution et des consommateurs, ainsi que l’interconnexion avec les pays voisins"
108,Le besoin d'une vision continue du risque,"Le tout, au moindre coût.",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
Le tout, au moindre coût."
109,Le besoin d'une vision continue du risque,"> L’objectif à remplir est celui de RTE dans son ensemble : il ne s’agit pas de développer le réseau ""pour lever les contraintes de l’exploitation"", mais de développer et exploiter le patrimoine de RTE sous contraintes techniques et économiques.",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
> L’objectif à remplir est celui de RTE dans son ensemble : il ne s’agit pas de développer le réseau ""pour lever les contraintes de l’exploitation"", mais de développer et exploiter le patrimoine de RTE sous contraintes techniques et économiques."
110,Le besoin d'une vision continue du risque,"Puisque des contraintes résiduelles sont inhérentes aux arbitrages réalisés, l’enjeu du rapprochement entre les différents horizons revient essentiellement à évaluer et faire adopter pour l’ensemble de RTE un certain niveau de risque : les études doivent réaliser un état des lieux précis et exhaustif des contraintes, de leurs conséquences et des mesures qui pourront être mises en oeuvre.",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
Puisque des contraintes résiduelles sont inhérentes aux arbitrages réalisés, l’enjeu du rapprochement entre les différents horizons revient essentiellement à évaluer et faire adopter pour l’ensemble de RTE un certain niveau de risque : les études doivent réaliser un état des lieux précis et exhaustif des contraintes, de leurs conséquences et des mesures qui pourront être mises en oeuvre."
111,Le besoin d'une vision continue du risque,"L’objectif est de pouvoir disposer d’une vision continue du risque dans la détection des contraintes et l’analyse de leurs conséquences même si l’application des référentiels respectifs du développement et de l’exploitation peut conduire à des visions différentes, que ce soit en termes de :
* schémas d’exploitation
* identification et gestion des contraintes
* prise en compte des consignations
* calcul d’Icc et plus généralement de seuils techniques des ouvrages
* risque pris en compte",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
L’objectif est de pouvoir disposer d’une vision continue du risque dans la détection des contraintes et l’analyse de leurs conséquences même si l’application des référentiels respectifs du développement et de l’exploitation peut conduire à des visions différentes, que ce soit en termes de :
* schémas d’exploitation
* identification et gestion des contraintes
* prise en compte des consignations
* calcul d’Icc et plus généralement de seuils techniques des ouvrages
* risque pris en compte"
112,Le besoin d'une vision continue du risque,"Décider, à un moment donné, de ne pas renforcer revient à assumer entièrement le risque qui se présentera quelques années plus tard, malgré les approximations que l’on peut avoir au moment de cette décision : quelles seront les conséquences d’un non-renforcement ?
* l’acceptabilité d’une contrainte dépend pour beaucoup des possibilités existant (ou non) pour y faire face en exploitation (adaptations de schéma, automates, autres dispositions temporaires…). 
* Quels seront les risques réellement pris (dégradation de la qualité de fourniture...), au-delà de l’approche normative de valorisation de l’END ?",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
Décider, à un moment donné, de ne pas renforcer revient à assumer entièrement le risque qui se présentera quelques années plus tard, malgré les approximations que l’on peut avoir au moment de cette décision : quelles seront les conséquences d’un non-renforcement ?
* l’acceptabilité d’une contrainte dépend pour beaucoup des possibilités existant (ou non) pour y faire face en exploitation (adaptations de schéma, automates, autres dispositions temporaires…). 
* Quels seront les risques réellement pris (dégradation de la qualité de fourniture...), au-delà de l’approche normative de valorisation de l’END ?"
113,Le besoin d'une vision continue du risque,"Être plus réactif aux évolutions rapides du contexte, d’une part en assurant un suivi plus rapproché des contraintes résiduelles, d’autre part en se donnant les moyens d’ultimes adaptations du réseau à court terme.",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Le besoin d'une vision continue du risque
Être plus réactif aux évolutions rapides du contexte, d’une part en assurant un suivi plus rapproché des contraintes résiduelles, d’autre part en se donnant les moyens d’ultimes adaptations du réseau à court terme."
114,Une vision commune du long terme au temps réel,"Les dossiers présentant une justification insuffisante remontent rarement jusqu’aux comités décisionnels, seules les situations dans lesquelles un renforcement devient nécessaire sont présentées.",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Une vision commune du long terme au temps réel
Les dossiers présentant une justification insuffisante remontent rarement jusqu’aux comités décisionnels, seules les situations dans lesquelles un renforcement devient nécessaire sont présentées."
115,Une vision commune du long terme au temps réel,"La décision porte alors sur l’[arbitrage entre les différentes solutions de renforcement](&A114). Or les situations dans lesquelles aucun renforcement n’est engagé doivent aussi être portées à la connaissance du management, puisqu’elles sont susceptibles d’affecter les résultats de l’entreprise.
Pour cela, il est nécessaire d’avoir une vision exhaustive des contraintes qui devront être vécues en exploitation si aucun renforcement n’est réalisé, de leurs conséquences et des dispositions qui pourront (ou non) être prises afin de les minimiser. Ainsi, il est important de mettre en évidence :",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Une vision commune du long terme au temps réel
La décision porte alors sur l’[arbitrage entre les différentes solutions de renforcement](&A114). Or les situations dans lesquelles aucun renforcement n’est engagé doivent aussi être portées à la connaissance du management, puisqu’elles sont susceptibles d’affecter les résultats de l’entreprise.
Pour cela, il est nécessaire d’avoir une vision exhaustive des contraintes qui devront être vécues en exploitation si aucun renforcement n’est réalisé, de leurs conséquences et des dispositions qui pourront (ou non) être prises afin de les minimiser. Ainsi, il est important de mettre en évidence :"
116,Une vision commune du long terme au temps réel,"* [les contraintes résiduelles qui peuvent perdurer après un renforcement](&D268)
* [les contraintes à gérer en l'attente du renforcement](&A45)",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Une vision commune du long terme au temps réel
* [les contraintes résiduelles qui peuvent perdurer après un renforcement](&D268)
* [les contraintes à gérer en l'attente du renforcement](&A45)"
117,Une vision commune du long terme au temps réel,"Dans l’objectif de préparer la conduite du réseau le jour J, toutes les contraintes doivent trouver une solution, que ce soit de façon durable (renforcement du réseau) ou palliative (recours à des conditions d’exploitation dégradées, mais maîtrisées et assumées). L’existence (ou non) et la durée d’efficacité de moyens permettant de continuer à exploiter le réseau (même dans des conditions dégradées) constituent un élément important d’appréciation de la gravité de la contrainte et des risques encourus.",DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Une vision commune du long terme au temps réel
Dans l’objectif de préparer la conduite du réseau le jour J, toutes les contraintes doivent trouver une solution, que ce soit de façon durable (renforcement du réseau) ou palliative (recours à des conditions d’exploitation dégradées, mais maîtrisées et assumées). L’existence (ou non) et la durée d’efficacité de moyens permettant de continuer à exploiter le réseau (même dans des conditions dégradées) constituent un élément important d’appréciation de la gravité de la contrainte et des risques encourus."
118,Une vision commune du long terme au temps réel,Le [référentiel relatif à la maîtrise des risques en Exploitation](&E105) doit être pris en compte pour évaluer les conséquences qu'une stratégie aurait sur un réseau exploité aujourd'hui. Une telle analyse permet de mieux appréhender les besoins d'évolution des méthodes d'exploitation permettant d'assurer l'exploitabilité de la stratégie à terme.,DODER_contraintes_d_exploitation.md,"Fichier: DODER_contraintes_d_exploitation.md
Titre: Une vision commune du long terme au temps réel
Le [référentiel relatif à la maîtrise des risques en Exploitation](&E105) doit être pris en compte pour évaluer les conséquences qu'une stratégie aurait sur un réseau exploité aujourd'hui. Une telle analyse permet de mieux appréhender les besoins d'évolution des méthodes d'exploitation permettant d'assurer l'exploitabilité de la stratégie à terme."
119,Courant de court-circuit,﻿# Contraintes de courants de court-circuit,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Courant de court-circuit
﻿# Contraintes de courants de court-circuit"
120,Courant de court-circuit,"En planification, on calcule les [courants de court-circuit triphasés](&D149) qui sont les plus contraignants pour les matériels.
Le courant de court-circuit triphasé Icc est donné par :",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Courant de court-circuit
En planification, on calcule les [courants de court-circuit triphasés](&D149) qui sont les plus contraignants pour les matériels.
Le courant de court-circuit triphasé Icc est donné par :"
121,Courant de court-circuit,Icc = c . Vn / Zcc = c . Un / √3 Zcc,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Courant de court-circuit
Icc = c . Vn / Zcc = c . Un / √3 Zcc"
122,Courant de court-circuit,"> | Symbole   | Description |
|:---------:|:------------|
|Icc      	|courant de court-circuit (en kA) |
|Vn			|tension simple nominale (en kV) |
|Un			|tension composée nominale (en kV) |
|Zcc		|impédance de court-circuit triphasée (en Ω) |",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Courant de court-circuit
> | Symbole   | Description |
|:---------:|:------------|
|Icc      	|courant de court-circuit (en kA) |
|Vn			|tension simple nominale (en kV) |
|Un			|tension composée nominale (en kV) |
|Zcc		|impédance de court-circuit triphasée (en Ω) |"
123,Courant de court-circuit,"Lors de la recherche des contraintes de court-circuit, les régimes de fonctionnement à examiner sont les suivants :
* schéma d'exploitation normale
* court-circuit triphasé franc sur chaque sommet du réseau.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Courant de court-circuit
Lors de la recherche des contraintes de court-circuit, les régimes de fonctionnement à examiner sont les suivants :
* schéma d'exploitation normale
* court-circuit triphasé franc sur chaque sommet du réseau."
124,Puissance de court-circuit,"Sur réseau triphasé équilibré, la puissance de court-circuit est définie par :",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Puissance de court-circuit
Sur réseau triphasé équilibré, la puissance de court-circuit est définie par :"
125,Puissance de court-circuit,Pcc = 3 Vn Icc = √3 Un Icc,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Puissance de court-circuit
Pcc = 3 Vn Icc = √3 Un Icc"
126,Puissance de court-circuit,"Il est important de noter que le courant de court-circuit triphasé _Icc_ est bien réel alors que la puissance de court-circuit, définie conventionnellement ne correspond à aucune grandeur physique.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Puissance de court-circuit
Il est important de noter que le courant de court-circuit triphasé _Icc_ est bien réel alors que la puissance de court-circuit, définie conventionnellement ne correspond à aucune grandeur physique."
127,Origine des courts-circuits,Les courts-circuits ont des causes multiples qui peuvent être d'origine externe (causes naturelles ou accidentelles indépendantes du réseau) ou interne (les défauts ont pour origine le réseau lui-même).,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Origine des courts-circuits
Les courts-circuits ont des causes multiples qui peuvent être d'origine externe (causes naturelles ou accidentelles indépendantes du réseau) ou interne (les défauts ont pour origine le réseau lui-même)."
128,Origine des courts-circuits,"* Parmi les causes d'origine externe, on peut citer les conditions atmosphériques (orage, brouillard, givre..) qui sont la principale cause des défauts sur les lignes aériennes et les accidents divers (amorçages avec des corps étrangers ou avec divers engins). 
* Les causes d'origine interne sont principalement les avaries de matériels (conducteurs, isolateurs, transformateurs, réducteurs de mesure, sectionneurs, disjoncteurs) par suite de ruptures mécaniques ou de problème électrique et les fausses manoeuvres qui peuvent avoir pour origine une défaillance du matériel ou humaine (ouverture d'un sectionneur en charge).",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Origine des courts-circuits
* Parmi les causes d'origine externe, on peut citer les conditions atmosphériques (orage, brouillard, givre..) qui sont la principale cause des défauts sur les lignes aériennes et les accidents divers (amorçages avec des corps étrangers ou avec divers engins). 
* Les causes d'origine interne sont principalement les avaries de matériels (conducteurs, isolateurs, transformateurs, réducteurs de mesure, sectionneurs, disjoncteurs) par suite de ruptures mécaniques ou de problème électrique et les fausses manoeuvres qui peuvent avoir pour origine une défaillance du matériel ou humaine (ouverture d'un sectionneur en charge)."
129,Origine des courts-circuits,Les courts-circuits sont de 4 types :,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Origine des courts-circuits
Les courts-circuits sont de 4 types :"
130,Origine des courts-circuits,"* monophasé : entre une phase et la terre
* biphasé-isolé : entre 2 phases
* biphasé-terre : entre 2 phases et la terre
* triphasé : entre 3 phases avec ou sans terre",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Origine des courts-circuits
* monophasé : entre une phase et la terre
* biphasé-isolé : entre 2 phases
* biphasé-terre : entre 2 phases et la terre
* triphasé : entre 3 phases avec ou sans terre"
131,Origine des courts-circuits,"La plupart des courts-circuits sur le réseau sont des défauts monophasés mais ils peuvent évoluer, s'ils ne sont pas éliminés suffisamment rapidement, vers des défauts polyphasés, l'arc électrique pouvant gagner les autres phases.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Origine des courts-circuits
La plupart des courts-circuits sur le réseau sont des défauts monophasés mais ils peuvent évoluer, s'ils ne sont pas éliminés suffisamment rapidement, vers des défauts polyphasés, l'arc électrique pouvant gagner les autres phases."
132,Origine des courts-circuits,"Par ailleurs, on distingue le court-circuit peu résistant (contournement des chaînes d'isolateurs, amorçage entre conducteurs...) et le court-circuit assez résistant (chute du câble, amorçage avec un arbre...) du fait d'une part de la résistance équivalente à l'arc et d'autre part de celle de la prise de terre des pylônes.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Origine des courts-circuits
Par ailleurs, on distingue le court-circuit peu résistant (contournement des chaînes d'isolateurs, amorçage entre conducteurs...) et le court-circuit assez résistant (chute du câble, amorçage avec un arbre...) du fait d'une part de la résistance équivalente à l'arc et d'autre part de celle de la prise de terre des pylônes."
133,Effets thermiques,"Les effets thermiques sont dus, soit à la surintensité dans les divers circuits alimentant le défaut, soit à l'arc électrique. Ils dépendent de la valeur du courant de court-circuit et de la durée du défaut. L'utilisation de protections permet de limiter la durée du court-circuit et les effets thermiques sur les lignes sont généralement évités. 
Dans les alternateurs, de forts courants dans les enroulements de stators peuvent provoquer des déformations des conducteurs.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets thermiques
Les effets thermiques sont dus, soit à la surintensité dans les divers circuits alimentant le défaut, soit à l'arc électrique. Ils dépendent de la valeur du courant de court-circuit et de la durée du défaut. L'utilisation de protections permet de limiter la durée du court-circuit et les effets thermiques sur les lignes sont généralement évités. 
Dans les alternateurs, de forts courants dans les enroulements de stators peuvent provoquer des déformations des conducteurs."
134,Effets thermiques,"Dans les transformateurs, les courts-circuits monophasés donnent naissance à des courants de circulation importants dans les enroulements tertiaires, montés en triangle, produisant des échauffements dangereux.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets thermiques
Dans les transformateurs, les courts-circuits monophasés donnent naissance à des courants de circulation importants dans les enroulements tertiaires, montés en triangle, produisant des échauffements dangereux."
135,Effets électrodynamiques,"A chaque alternance, les conducteurs traversés par le courant de défaut, s'attirent et se repoussent avec une force proportionnelle au carré du courant et inversement proportionnelle à leur distance. Pour un courant de court-circuit égal à 10 fois le courant nominal, l'effort est donc 100 fois supérieur à celui en régime normal. 
Pour les courants de court-circuit de l'ordre de 63kA, ces efforts électrodynamiques deviennent prépondérants et remettent en cause les structures et tout le matériel des postes existants. Pour un tel courant, la distance entre phases peut être réduite, du fait du balancement des conducteurs.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets électrodynamiques
A chaque alternance, les conducteurs traversés par le courant de défaut, s'attirent et se repoussent avec une force proportionnelle au carré du courant et inversement proportionnelle à leur distance. Pour un courant de court-circuit égal à 10 fois le courant nominal, l'effort est donc 100 fois supérieur à celui en régime normal. 
Pour les courants de court-circuit de l'ordre de 63kA, ces efforts électrodynamiques deviennent prépondérants et remettent en cause les structures et tout le matériel des postes existants. Pour un tel courant, la distance entre phases peut être réduite, du fait du balancement des conducteurs."
136,Effets électrodynamiques,"En ce qui concerne les connexions dans les postes, les forces engendrées peuvent mettre en cause la tenue de l'ouvrage (déformation des jeux de barres, rupture des isolateurs...).",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets électrodynamiques
En ce qui concerne les connexions dans les postes, les forces engendrées peuvent mettre en cause la tenue de l'ouvrage (déformation des jeux de barres, rupture des isolateurs...)."
137,Effets électrodynamiques,"C'est sur les transformateurs et les bobines de réactance que les efforts électrodynamiques sont les plus néfastes si la distance entre spires est faible et s'ils n'ont pas une rigidité mécanique suffisante. Par ailleurs, les distances d'isolement peuvent ne plus être respectées du fait du décalage des spires les unes par rapport aux autres.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets électrodynamiques
C'est sur les transformateurs et les bobines de réactance que les efforts électrodynamiques sont les plus néfastes si la distance entre spires est faible et s'ils n'ont pas une rigidité mécanique suffisante. Par ailleurs, les distances d'isolement peuvent ne plus être respectées du fait du décalage des spires les unes par rapport aux autres."
138,Effets d'induction et de montée en potentiel,"En cas de défaut à la terre, les courants de court-circuit induisent dans les circuits de télécommunications et les conduites métalliques enterrées situées au voisinage des lignes à haute et très haute tension, des forces électromotrices qui peuvent endommager le matériel ou même porter atteinte à la sécurité des personnes.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets d'induction et de montée en potentiel
En cas de défaut à la terre, les courants de court-circuit induisent dans les circuits de télécommunications et les conduites métalliques enterrées situées au voisinage des lignes à haute et très haute tension, des forces électromotrices qui peuvent endommager le matériel ou même porter atteinte à la sécurité des personnes."
139,Effets d'induction et de montée en potentiel,"Les conséquences dépendant du parallélisme entre les différents circuits, de la présence ou non de câbles de garde et de la position du défaut sur la ligne.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Effets d'induction et de montée en potentiel
Les conséquences dépendant du parallélisme entre les différents circuits, de la présence ou non de câbles de garde et de la position du défaut sur la ligne."
140,Conséquences sur la conception du réseau,La puissance de court-circuit a une influence directe dans différents domaines qui sont interdépendants :,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur la conception du réseau
La puissance de court-circuit a une influence directe dans différents domaines qui sont interdépendants :"
141,Conséquences sur la conception du réseau,"* le choix des niveaux de tension du réseau, 
* le choix de la tension de raccordement des clients importants et des alternateurs de forte puissance,
* le palier technique du matériel,
* la structure du réseau,
* les caractéristiques du matériel.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur la conception du réseau
* le choix des niveaux de tension du réseau, 
* le choix de la tension de raccordement des clients importants et des alternateurs de forte puissance,
* le palier technique du matériel,
* la structure du réseau,
* les caractéristiques du matériel."
142,Conséquences sur la conception du réseau,On démontre qu'un client qui consomme une puissance _Sn_ doit bénéficier d'une puissance de court-circuit suffisante _Scc_ au point de raccordement pour éviter des variations de tension trop importantes qui risquent de gêner son alimentation électrique et celle des clients voisins. La tension et le réseau de raccordement des clients consommateurs sont déterminés en fonction du rapport _Sn/Scc_.,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur la conception du réseau
On démontre qu'un client qui consomme une puissance _Sn_ doit bénéficier d'une puissance de court-circuit suffisante _Scc_ au point de raccordement pour éviter des variations de tension trop importantes qui risquent de gêner son alimentation électrique et celle des clients voisins. La tension et le réseau de raccordement des clients consommateurs sont déterminés en fonction du rapport _Sn/Scc_."
143,Conséquences sur la conception du réseau,"Une fois le niveau de tension déterminé, il reste à fixer le palier technique du matériel et des structures de postes. Enfin, la structure de réseau, la taille des postes et certaines caractéristiques des ouvrages sont des éléments plus ou moins favorables pour limiter l'augmentation naturelle des courants de court-circuit.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur la conception du réseau
Une fois le niveau de tension déterminé, il reste à fixer le palier technique du matériel et des structures de postes. Enfin, la structure de réseau, la taille des postes et certaines caractéristiques des ouvrages sont des éléments plus ou moins favorables pour limiter l'augmentation naturelle des courants de court-circuit."
144,Conséquences sur l'exploitation du réseau,Il s'agit de maintenir en chaque sommet du réseau une puissance de court-circuit comprise entre les valeurs minimales et maximales. La contrainte impérative en exploitation est de ne pas dépasser la valeur maximale admissible fixée par le palier technique du matériel en procédant à des débouclages du réseau.,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur l'exploitation du réseau
Il s'agit de maintenir en chaque sommet du réseau une puissance de court-circuit comprise entre les valeurs minimales et maximales. La contrainte impérative en exploitation est de ne pas dépasser la valeur maximale admissible fixée par le palier technique du matériel en procédant à des débouclages du réseau."
145,Conséquences sur l'exploitation du réseau,"Dans la mesure où la Pcc ne dépasse cette valeur maximale, il est cependant préférable d'avoir la valeur la plus élevée possible. En effet, la Pcc a une influence directe sur un grand nombre de paramètres caractéristiques de l'exploitation des réseaux tels que la tenue de tension, le bon fonctionnement des protections...",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur l'exploitation du réseau
Dans la mesure où la Pcc ne dépasse cette valeur maximale, il est cependant préférable d'avoir la valeur la plus élevée possible. En effet, la Pcc a une influence directe sur un grand nombre de paramètres caractéristiques de l'exploitation des réseaux tels que la tenue de tension, le bon fonctionnement des protections..."
146,Conséquences sur la stabilité des groupes,"Dans certains schémas particuliers de réseau, des oscillations entretenues peuvent prendre naissance sur les alternateurs, entraînant des oscillations de toutes les grandeurs électriques du réseau. Cette instabilité statique, puisqu'elle peut prendre naissance en l'absence de toute perturbation importante du réseau, est directement fonction de la puissance de court-circuit aux bornes des groupes, ou plus exactement de la réactance équivalente exprimée en pourcent du rapport _Sn/Scc_, _Sn_ étant la puissance nominale du groupe et _Scc_ la puissance de court-circuit aux bornes du groupe. Cette stabilité statique est liée également aux caractéristiques des régulateurs de tension et au régime de puissance réactive des groupes.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur la stabilité des groupes
Dans certains schémas particuliers de réseau, des oscillations entretenues peuvent prendre naissance sur les alternateurs, entraînant des oscillations de toutes les grandeurs électriques du réseau. Cette instabilité statique, puisqu'elle peut prendre naissance en l'absence de toute perturbation importante du réseau, est directement fonction de la puissance de court-circuit aux bornes des groupes, ou plus exactement de la réactance équivalente exprimée en pourcent du rapport _Sn/Scc_, _Sn_ étant la puissance nominale du groupe et _Scc_ la puissance de court-circuit aux bornes du groupe. Cette stabilité statique est liée également aux caractéristiques des régulateurs de tension et au régime de puissance réactive des groupes."
147,Conséquences sur la stabilité des groupes,"La valeur de la puissance de court-circuit a aussi une influence directe sur la stabilité dynamique, en cas de défaut mal éliminé qui peut causer la perte de synchronisme des groupes de production environnants et conduire à un morcellement du réseau. Une valeur élevée de la puissance de court-circuit améliore les marges de stabilité.",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Conséquences sur la stabilité des groupes
La valeur de la puissance de court-circuit a aussi une influence directe sur la stabilité dynamique, en cas de défaut mal éliminé qui peut causer la perte de synchronisme des groupes de production environnants et conduire à un morcellement du réseau. Une valeur élevée de la puissance de court-circuit améliore les marges de stabilité."
148,Principe de calculs,Deux méthodologies pour le calcul d’apport en courant de court-circuit sont utilisées à RTE :,DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Principe de calculs
Deux méthodologies pour le calcul d’apport en courant de court-circuit sont utilisées à RTE :"
149,Principe de calculs,"* Pour la détection de contrainte : celle-ci est basée sur une [doctrine interne à RTE](&D119),
* Pour le dimensionnement : celle-ci est basée sur la norme internationale CEI 60/909. Cette dernière est préconisée au sein de l’ENTSOE et est la norme à utiliser dans les échanges avec nos clients (Documentation Technique de Référence).",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Principe de calculs
* Pour la détection de contrainte : celle-ci est basée sur une [doctrine interne à RTE](&D119),
* Pour le dimensionnement : celle-ci est basée sur la norme internationale CEI 60/909. Cette dernière est préconisée au sein de l’ENTSOE et est la norme à utiliser dans les échanges avec nos clients (Documentation Technique de Référence)."
150,Principe de calculs,"[Cette note](&D120) décrit ces deux méthodologies, dont les principales différences concernent les hypothèses d’entrée des calculs électrotechniques :",DODER_contraintes_d_icc.md,"Fichier: DODER_contraintes_d_icc.md
Titre: Principe de calculs
[Cette note](&D120) décrit ces deux méthodologies, dont les principales différences concernent les hypothèses d’entrée des calculs électrotechniques :"
